image_path,category,pexels_photo_id,photographer,photographer_url,source_page,alt
hotel_images/resort/resort_01.jpg,resort,35236021,Tom Fisk,https://www.pexels.com/@tomfisk,https://www.pexels.com/photo/luxurious-seaside-resort-in-bali-with-sun-loungers-35236021/,Relax by the pool with stunning ocean views at a Bali resort.
hotel_images/resort/resort_02.jpg,resort,6821435,Lelani Badenhorst,https://www.pexels.com/@lelani-badenhorst-26647525,https://www.pexels.com/photo/the-poolside-of-a-beach-resort-6821435/,"Relax by the pool at a tropical resort with palm trees and thatched huts, epitomizing a summer getaway."
hotel_images/resort/resort_03.jpg,resort,5362213,Spencer Battista,https://www.pexels.com/@spencer-battista-3582307,https://www.pexels.com/photo/photograph-of-a-swimming-pool-near-pal-m-trees-5362213/,Stunning view of a tropical infinity pool overlooking the Whitsundays' pristine beaches.
hotel_images/resort/resort_04.jpg,resort,635126,Rene Terp,https://www.pexels.com/@reneterp,https://www.pexels.com/photo/white-plastic-beach-loungers-near-pool-at-daytime-635126/,"A resort poolside area with straw umbrellas and sun loungers, perfect for a tropical vacation."
hotel_images/resort/resort_05.jpg,resort,14025857,Quang Nguyen Vinh,https://www.pexels.com/@quang-nguyen-vinh-222549,https://www.pexels.com/photo/shirtless-boy-walking-near-infinity-pool-under-blue-sky-14025857/,"Young boy walking near an infinity pool by the ocean in a tropical setting, under a clear blue sky."
hotel_images/resort/resort_06.jpg,resort,33191052,Danilo Lopes,https://www.pexels.com/@danilo-lopes-2113550040,https://www.pexels.com/photo/aerial-view-of-tropical-resort-with-pool-and-beach-33191052/,"A stunning tropical resort featuring a lush landscape, pool, and beachfront. Perfect for a summer getaway."
hotel_images/resort/resort_07.jpg,resort,33836952,Gopinath Mohanta,https://www.pexels.com/@gopinath0001,https://www.pexels.com/photo/aerial-view-of-tropical-resort-with-pools-33836952/,Stunning aerial shot of a tropical resort featuring large pools and palm trees.
hotel_images/resort/resort_08.jpg,resort,14012238,Quang Nguyen Vinh,https://www.pexels.com/@quang-nguyen-vinh-222549,https://www.pexels.com/photo/white-outdoor-lounge-chair-on-poolside-of-a-resort-14012238/,Discover relaxation and luxury at a tropical resort with poolside lounge chairs and palm trees.
hotel_images/resort/resort_09.jpg,resort,29766360,John Henry,https://www.pexels.com/@john-henry-2147678626,https://www.pexels.com/photo/tropical-beach-resort-at-sunset-with-palm-trees-29766360/,"Serene tropical beach setting with palm trees and umbrellas at sunset, ideal for a relaxing retreat."
hotel_images/resort/resort_10.jpg,resort,14036448,Quang Nguyen Vinh,https://www.pexels.com/@quang-nguyen-vinh-222549,https://www.pexels.com/photo/sunbeds-and-beach-umbrellas-near-swimming-pool-14036448/,Scenic view of a luxury resort pool with sunbeds and umbrellas under a clear sky.
